Choice | CI(80%) Bottom | CI(80%) Top | CI(90%) Bottom | CI(90%) Top | CI(95%) Bottom | CI(95%) Top | CI(99%) Bottom | CI(99%) Top
Alianța pentru Unirea Românilor (ECR) | 0.3685412913500953 | 0.39186100828335735 | 0.365340671091571 | 0.39506162854188165 | 0.36259724175665753 | 0.39780505787679515 | 0.3571102411902062 | 0.40329205844324645
Uniunea Salvați România (RE) | 0.11522630241235612 | 0.13122997129147496 | 0.11339725492466425 | 0.13351635159940198 | 0.11156834933359669 | 0.13534525719046955 | 0.10791039625483725 | 0.13946040119283978
Partidul Social Democrat (S&D) | 0.18564250223912873 | 0.20484679137677186 | 0.1833561219312017 | 0.20759036260830968 | 0.18107002541652334 | 0.20987645912298805 | 0.17695473951752877 | 0.21444893594559342
Partidul S.O.S. România (*) | 0.014174621391426947 | 0.020576145701724214 | 0.013260097647581003 | 0.021490669445570158 | 0.012802906723970199 | 0.0224051931894161 | 0.011431192056513452 | 0.024234098780483652
Uniunea Democrată Maghiară din România (EPP) | 0.042981196994515976 | 0.053497865307183486 | 0.04160948232705923 | 0.05532691279487537 | 0.040694958583213287 | 0.056698627462332125 | 0.03840886206853494 | 0.058984865873634815
Partidul Național Liberal (EPP) | 0.13763149560177224 | 0.15454954632811269 | 0.13534525719046955 | 0.1572931175596505 | 0.13351635159940198 | 0.15912202315071805 | 0.1298582566240182 | 0.16369449997332344
Other | 0.08459067932157521 | 0.09830810978939135 | 0.08276177373050767 | 0.10013701538045891 | 0.08093272624281578 | 0.1019660628681508 | 0.07818929690790229 | 0.10562401594691023
